Date : 2024-11-04 22:29:41
Directory : f:\study\design\canvas
Total : 141 files,  15461 codes, 245 comments, 2250 blanks, all 17956 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          2 |      6,816 |          0 |      1,632 |      8,448 |
| TypeScript JSX     |         78 |      5,513 |        105 |        462 |      6,080 |
| TypeScript         |         35 |      2,404 |        134 |        101 |      2,639 |
| JSON               |         10 |        271 |          4 |          9 |        284 |
| CSS                |          2 |        168 |          0 |          7 |        175 |
| JavaScript         |          4 |        129 |          2 |          6 |        137 |
| Markdown           |          3 |         67 |          0 |         28 |         95 |
| JSON with Comments |          3 |         57 |          0 |          3 |         60 |
| HTML               |          1 |         20 |          0 |          1 |         21 |
| XML                |          3 |         16 |          0 |          1 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        141 |     15,461 |        245 |      2,250 |     17,956 |
| . (Files)                                                                              |          5 |      6,862 |          0 |      1,637 |      8,499 |
| apps                                                                                   |        136 |      8,599 |        245 |        613 |      9,457 |
| apps\jebet                                                                             |         46 |      2,685 |         23 |        278 |      2,986 |
| apps\jebet (Files)                                                                     |         13 |        340 |          5 |         25 |        370 |
| apps\jebet\public                                                                      |          1 |          1 |          0 |          0 |          1 |
| apps\jebet\src                                                                         |         32 |      2,344 |         18 |        253 |      2,615 |
| apps\jebet\src (Files)                                                                 |          3 |        125 |          2 |          5 |        132 |
| apps\jebet\src\assets                                                                  |          1 |          1 |          0 |          0 |          1 |
| apps\jebet\src\components                                                              |         24 |      2,148 |         14 |        236 |      2,398 |
| apps\jebet\src\components\auth                                                         |          1 |         44 |          0 |          3 |         47 |
| apps\jebet\src\components\command                                                      |          1 |         21 |          0 |          3 |         24 |
| apps\jebet\src\components\shadui                                                       |          1 |         44 |          0 |          2 |         46 |
| apps\jebet\src\components\ui                                                           |         21 |      2,039 |         14 |        228 |      2,281 |
| apps\jebet\src\hooks                                                                   |          1 |         15 |          0 |          5 |         20 |
| apps\jebet\src\lib                                                                     |          1 |          5 |          0 |          2 |          7 |
| apps\jebet\src\page                                                                    |          2 |         50 |          2 |          5 |         57 |
| apps\jebet\src\page\auth                                                               |          1 |         46 |          2 |          3 |         51 |
| apps\jebet\src\page\error                                                              |          1 |          4 |          0 |          2 |          6 |
| apps\ljh-design                                                                        |         90 |      5,914 |        222 |        335 |      6,471 |
| apps\ljh-design (Files)                                                                |         10 |        277 |          4 |         24 |        305 |
| apps\ljh-design\api                                                                    |          6 |         95 |         21 |         11 |        127 |
| apps\ljh-design\api (Files)                                                            |          1 |          3 |          1 |          1 |          5 |
| apps\ljh-design\api\supabase                                                           |          3 |         62 |         19 |          6 |         87 |
| apps\ljh-design\api\supabase\Image                                                     |          1 |         27 |         14 |          1 |         42 |
| apps\ljh-design\api\supabase\board                                                     |          1 |          5 |          4 |          2 |         11 |
| apps\ljh-design\api\supabase\sign                                                      |          1 |         30 |          1 |          3 |         34 |
| apps\ljh-design\api\unsplash                                                           |          1 |          6 |          1 |          2 |          9 |
| apps\ljh-design\api\useQuery                                                           |          1 |         24 |          0 |          2 |         26 |
| apps\ljh-design\app                                                                    |         15 |        370 |         16 |         41 |        427 |
| apps\ljh-design\app (Files)                                                            |          3 |        111 |          0 |         11 |        122 |
| apps\ljh-design\app\(pages)                                                            |          6 |        129 |          0 |         12 |        141 |
| apps\ljh-design\app\(pages)\board                                                      |          6 |        129 |          0 |         12 |        141 |
| apps\ljh-design\app\(pages)\board (Files)                                              |          2 |         35 |          0 |          5 |         40 |
| apps\ljh-design\app\(pages)\board\Edit                                                 |          2 |         45 |          0 |          3 |         48 |
| apps\ljh-design\app\(pages)\board\sign-in                                              |          2 |         49 |          0 |          4 |         53 |
| apps\ljh-design\app\_provide                                                           |          2 |         35 |         14 |          9 |         58 |
| apps\ljh-design\app\api                                                                |          3 |         81 |          2 |          8 |         91 |
| apps\ljh-design\app\api\[[...route]]                                                   |          3 |         81 |          2 |          8 |         91 |
| apps\ljh-design\app\public                                                             |          1 |         14 |          0 |          1 |         15 |
| apps\ljh-design\components                                                             |         40 |      3,068 |         74 |        187 |      3,329 |
| apps\ljh-design\components\Board                                                       |          5 |         92 |          0 |         13 |        105 |
| apps\ljh-design\components\Comand                                                      |          2 |         49 |          3 |          6 |         58 |
| apps\ljh-design\components\EditComponents                                              |         19 |      1,957 |         57 |         60 |      2,074 |
| apps\ljh-design\components\Sign                                                        |          1 |        148 |          0 |          5 |        153 |
| apps\ljh-design\components\shadui-Components                                           |          1 |         40 |          3 |          2 |         45 |
| apps\ljh-design\components\ui                                                          |         12 |        782 |         11 |        101 |        894 |
| apps\ljh-design\database                                                               |          1 |          4 |          0 |          2 |          6 |
| apps\ljh-design\hook                                                                   |          7 |        342 |         33 |         27 |        402 |
| apps\ljh-design\lib                                                                    |          6 |        238 |         29 |         16 |        283 |
| apps\ljh-design\lib (Files)                                                            |          2 |        161 |         28 |          7 |        196 |
| apps\ljh-design\lib\react-query                                                        |          2 |         20 |          1 |          4 |         25 |
| apps\ljh-design\lib\sign                                                               |          1 |         27 |          0 |          3 |         30 |
| apps\ljh-design\lib\types                                                              |          1 |         30 |          0 |          2 |         32 |
| apps\ljh-design\store                                                                  |          3 |        692 |         37 |         15 |        744 |
| apps\ljh-design\types                                                                  |          2 |        828 |          8 |         12 |        848 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\study\design\canvas\README.md                                                       | Markdown           |          4 |          0 |          3 |          7 |
| f:\study\design\canvas\apps\jebet\README.md                                            | Markdown           |         40 |          0 |         11 |         51 |
| f:\study\design\canvas\apps\jebet\components.json                                      | JSON               |         20 |          0 |          0 |         20 |
| f:\study\design\canvas\apps\jebet\eslint.config.js                                     | JavaScript         |         28 |          0 |          2 |         30 |
| f:\study\design\canvas\apps\jebet\index.html                                           | HTML               |         20 |          0 |          1 |         21 |
| f:\study\design\canvas\apps\jebet\package.json                                         | JSON               |         63 |          0 |          1 |         64 |
| f:\study\design\canvas\apps\jebet\postcss.config.js                                    | JavaScript         |          6 |          0 |          1 |          7 |
| f:\study\design\canvas\apps\jebet\public\vite.svg                                      | XML                |          1 |          0 |          0 |          1 |
