Date : 2024-11-16 23:06:58
Directory : f:\study\design\canvas\apps\ljh-design
Total : 121 files,  -17234 codes, -84 comments, -3726 blanks, all -21044 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ..\jebet\src\lib\sign                                                       |          1 |        -39 |          0 |         -3 |        -42 |
| ..\jebet\src\page                                                           |          2 |        -52 |         -2 |         -5 |        -59 |
| ..\jebet\src\page\auth                                                      |          1 |        -48 |         -2 |         -3 |        -53 |
| ..\jebet\src\page\error                                                     |          1 |         -4 |          0 |         -2 |         -6 |
| ..\jebet\src\server                                                         |          1 |         -3 |          0 |         -2 |         -5 |
| ..\jebet\src\store                                                          |          1 |        -15 |          0 |         -2 |        -17 |
| ..\vue                                                                      |         11 |       -169 |         -3 |        -34 |       -206 |
| ..\vue (Files)                                                              |          6 |       -115 |         -2 |        -20 |       -137 |
| ..\vue\server                                                               |          1 |         -3 |          0 |         -2 |         -5 |
| ..\vue\src                                                                  |          4 |        -51 |         -1 |        -12 |        -64 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                    | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\study\design\canvas\.idea\canvas.iml                                     | XML                |        -12 |          0 |          0 |        -12 |
| f:\study\design\canvas\.idea\modules.xml                                    | XML                |         -8 |          0 |          0 |         -8 |
| f:\study\design\canvas\.idea\vcs.xml                                        | XML                |         -6 |          0 |          0 |         -6 |
| f:\study\design\canvas\README.md                                            | Markdown           |         -4 |          0 |         -3 |         -7 |
| f:\study\design\canvas\apps\api\README.md                                   | Markdown           |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\apps\api\api\index.ts                                | TypeScript         |         -6 |          0 |         -2 |         -8 |
| f:\study\design\canvas\apps\api\package.json                                | JSON               |        -48 |          0 |         -1 |        -49 |
| f:\study\design\canvas\apps\api\src\hono\board\index.ts                     | TypeScript         |         -4 |          0 |         -2 |         -6 |
| f:\study\design\canvas\apps\api\src\hono\design\index.ts                    | TypeScript         |         -8 |          0 |         -2 |        -10 |
| f:\study\design\canvas\apps\api\src\hono\design\route\board.ts              | TypeScript         |       -185 |          0 |         -2 |       -187 |
| f:\study\design\canvas\apps\api\src\hono\design\route\image.ts              | TypeScript         |        -36 |         -1 |         -3 |        -40 |
| f:\study\design\canvas\apps\api\src\hono\design\route\user.ts               | TypeScript         |        -86 |         -3 |         -2 |        -91 |
| f:\study\design\canvas\apps\api\src\hono\form\index.ts                      | TypeScript         |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\apps\api\src\hono\index.ts                           | TypeScript         |        -20 |         -1 |         -3 |        -24 |
| f:\study\design\canvas\apps\api\src\hono\jebt\index.ts                      | TypeScript         |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\apps\api\src\hono\vue\index.ts                       | TypeScript         |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\apps\api\src\libs\error\index.ts                     | TypeScript         |        -16 |         -6 |         -5 |        -27 |
| f:\study\design\canvas\apps\api\src\libs\index.ts                           | TypeScript         |         -2 |          0 |         -1 |         -3 |
| f:\study\design\canvas\apps\api\src\libs\sign-in\index.ts                   | TypeScript         |        -46 |          0 |         -5 |        -51 |
| f:\study\design\canvas\apps\api\src\libs\unsplash\index.ts                  | TypeScript         |         -6 |         -1 |         -2 |         -9 |
| f:\study\design\canvas\apps\api\src\server\design\board\index.ts            | TypeScript         |       -127 |        -33 |         -6 |       -166 |
| f:\study\design\canvas\apps\api\src\server\design\index.ts                  | TypeScript         |         -2 |          0 |         -1 |         -3 |
| f:\study\design\canvas\apps\api\src\server\design\sign\index.ts             | TypeScript         |        -74 |         -2 |         -3 |        -79 |
| f:\study\design\canvas\apps\api\src\server\index.ts                         | TypeScript         |         -3 |          0 |         -1 |         -4 |
| f:\study\design\canvas\apps\api\src\server\jebt\auth\index.ts               | TypeScript         |         -4 |          0 |         -2 |         -6 |
| f:\study\design\canvas\apps\api\src\server\jebt\index.ts                    | TypeScript         |         -1 |          0 |         -1 |         -2 |
| f:\study\design\canvas\apps\api\src\server\supabase\design\index.ts         | TypeScript         |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\apps\api\src\server\supabase\index.ts                | TypeScript         |         -2 |          0 |         -1 |         -3 |
| f:\study\design\canvas\apps\api\src\server\supabase\jebt\index.ts           | TypeScript         |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\apps\api\src\types\design\board.ts                   | TypeScript         |        -14 |          0 |         -2 |        -16 |
| f:\study\design\canvas\apps\api\src\types\design\user.ts                    | TypeScript         |        -17 |          0 |         -3 |        -20 |
| f:\study\design\canvas\apps\api\tsconfig.json                               | JSON with Comments |        -24 |          0 |         -1 |        -25 |
| f:\study\design\canvas\apps\api\vercel.json                                 | JSON               |         -8 |          0 |          0 |         -8 |
| f:\study\design\canvas\apps\api\vite.config.ts                              | TypeScript         |        -11 |          0 |         -1 |        -12 |
| f:\study\design\canvas\apps\form\README.md                                  | Markdown           |        -50 |          0 |        -26 |        -76 |
| f:\study\design\canvas\apps\form\components\hellow.vue                      | vue                |         -8 |          0 |         -2 |        -10 |
| f:\study\design\canvas\apps\form\database\index.ts                          | TypeScript         |         -2 |          0 |         -1 |         -3 |
| f:\study\design\canvas\apps\form\nuxt.config.ts                             | TypeScript         |         -5 |         -1 |         -1 |         -7 |
| f:\study\design\canvas\apps\form\package.json                               | JSON               |        -23 |          0 |         -1 |        -24 |
| f:\study\design\canvas\apps\form\pages\about.vue                            | vue                |        -22 |          0 |         -4 |        -26 |
| f:\study\design\canvas\apps\form\pages\index.vue                            | vue                |         -2 |          0 |         -2 |         -4 |
| f:\study\design\canvas\apps\form\plugins\vue-query.ts                       | TypeScript         |        -29 |         -2 |         -6 |        -37 |
| f:\study\design\canvas\apps\form\server\tsconfig.json                       | JSON with Comments |         -3 |          0 |         -1 |         -4 |
| f:\study\design\canvas\apps\form\tsconfig.json                              | JSON with Comments |         -3 |         -1 |         -1 |         -5 |
| f:\study\design\canvas\apps\jebet\README.md                                 | Markdown           |        -40 |          0 |        -11 |        -51 |
| f:\study\design\canvas\apps\jebet\components.json                           | JSON               |        -20 |          0 |          0 |        -20 |
| f:\study\design\canvas\apps\jebet\eslint.config.js                          | JavaScript         |        -28 |          0 |         -2 |        -30 |
| f:\study\design\canvas\apps\jebet\index.html                                | HTML               |        -20 |          0 |         -1 |        -21 |
| f:\study\design\canvas\apps\jebet\package.json                              | JSON               |        -68 |          0 |         -1 |        -69 |
| f:\study\design\canvas\apps\jebet\postcss.config.js                         | JavaScript         |         -6 |          0 |         -1 |         -7 |
| f:\study\design\canvas\apps\jebet\public\vite.svg                           | XML                |         -1 |          0 |          0 |         -1 |
| f:\study\design\canvas\apps\jebet\src\assets\react.svg                      | XML                |         -1 |          0 |          0 |         -1 |
| f:\study\design\canvas\apps\jebet\src\components\auth\SignInContain.tsx     | TypeScript JSX     |        -44 |          0 |         -3 |        -47 |
| f:\study\design\canvas\apps\jebet\src\components\command\Logo.tsx           | TypeScript JSX     |        -21 |          0 |         -3 |        -24 |
| f:\study\design\canvas\apps\jebet\src\components\shadui\DottedSeparator.tsx | TypeScript JSX     |        -44 |          0 |         -2 |        -46 |
| f:\study\design\canvas\apps\jebet\src\components\ui\accordion.tsx           | TypeScript JSX     |        -49 |          0 |         -7 |        -56 |
| f:\study\design\canvas\apps\jebet\src\components\ui\alert-dialog.tsx        | TypeScript JSX     |       -126 |          0 |        -14 |       -140 |
| f:\study\design\canvas\apps\jebet\src\components\ui\aspect-ratio.tsx        | TypeScript JSX     |         -3 |          0 |         -3 |         -6 |
| f:\study\design\canvas\apps\jebet\src\components\ui\avatar.tsx              | TypeScript JSX     |        -43 |          0 |         -6 |        -49 |
| f:\study\design\canvas\apps\jebet\src\components\ui\badge.tsx               | TypeScript JSX     |        -31 |          0 |         -6 |        -37 |
| f:\study\design\canvas\apps\jebet\src\components\ui\breadcrumb.tsx          | TypeScript JSX     |       -105 |          0 |        -11 |       -116 |
| f:\study\design\canvas\apps\jebet\src\components\ui\button.tsx              | TypeScript JSX     |        -56 |          0 |         -6 |        -62 |
| f:\study\design\canvas\apps\jebet\src\components\ui\calendar.tsx            | TypeScript JSX     |        -66 |          0 |         -5 |        -71 |
| f:\study\design\canvas\apps\jebet\src\components\ui\card.tsx                | TypeScript JSX     |        -68 |          0 |         -9 |        -77 |
| f:\study\design\canvas\apps\jebet\src\components\ui\chart.tsx               | TypeScript JSX     |       -326 |         -2 |        -36 |       -364 |
| f:\study\design\canvas\apps\jebet\src\components\ui\checkbox.tsx            | TypeScript JSX     |        -25 |          0 |         -4 |        -29 |
| f:\study\design\canvas\apps\jebet\src\components\ui\dialog.tsx              | TypeScript JSX     |       -108 |          0 |        -13 |       -121 |
| f:\study\design\canvas\apps\jebet\src\components\ui\input-otp.tsx           | TypeScript JSX     |        -62 |          0 |         -8 |        -70 |
| f:\study\design\canvas\apps\jebet\src\components\ui\input.tsx               | TypeScript JSX     |        -20 |          0 |         -4 |        -24 |
| f:\study\design\canvas\apps\jebet\src\components\ui\separator.tsx           | TypeScript JSX     |        -26 |          0 |         -4 |        -30 |
| f:\study\design\canvas\apps\jebet\src\components\ui\sheet.tsx               | TypeScript JSX     |       -125 |          0 |        -16 |       -141 |
| f:\study\design\canvas\apps\jebet\src\components\ui\sidebar.tsx             | TypeScript JSX     |       -696 |        -12 |        -54 |       -762 |
| f:\study\design\canvas\apps\jebet\src\components\ui\skeleton.tsx            | TypeScript JSX     |        -13 |          0 |         -3 |        -16 |
| f:\study\design\canvas\apps\jebet\src\components\ui\tabs.tsx                | TypeScript JSX     |        -47 |          0 |         -7 |        -54 |
| f:\study\design\canvas\apps\jebet\src\components\ui\textarea.tsx            | TypeScript JSX     |        -20 |          0 |         -5 |        -25 |
| f:\study\design\canvas\apps\jebet\src\components\ui\tooltip.tsx             | TypeScript JSX     |        -24 |          0 |         -7 |        -31 |
| f:\study\design\canvas\apps\jebet\src\hooks\use-mobile.tsx                  | TypeScript JSX     |        -15 |          0 |         -5 |        -20 |
| f:\study\design\canvas\apps\jebet\src\hooks\useUser.ts                      | TypeScript         |        -20 |         -4 |         -3 |        -27 |
| f:\study\design\canvas\apps\jebet\src\index.css                             | CSS                |        -85 |          0 |         -1 |        -86 |
| f:\study\design\canvas\apps\jebet\src\lib\sign\index.ts                     | TypeScript         |        -39 |          0 |         -3 |        -42 |
| f:\study\design\canvas\apps\jebet\src\lib\utils.ts                          | TypeScript         |         -5 |          0 |         -2 |         -7 |
| f:\study\design\canvas\apps\jebet\src\main.tsx                              | TypeScript JSX     |        -58 |         -1 |         -3 |        -62 |
| f:\study\design\canvas\apps\jebet\src\page\auth\SignIn.tsx                  | TypeScript JSX     |        -48 |         -2 |         -3 |        -53 |
| f:\study\design\canvas\apps\jebet\src\page\error\Index.tsx                  | TypeScript JSX     |         -4 |          0 |         -2 |         -6 |
| f:\study\design\canvas\apps\jebet\src\server\index.ts                       | TypeScript         |         -3 |          0 |         -2 |         -5 |
| f:\study\design\canvas\apps\jebet\src\store\auth.ts                         | TypeScript         |        -15 |          0 |         -2 |        -17 |
| f:\study\design\canvas\apps\jebet\src\vite-env.d.ts                         | TypeScript         |          0 |         -1 |         -1 |         -2 |
| f:\study\design\canvas\apps\jebet\tailwind.config.js                        | JavaScript         |        -89 |         -1 |         -1 |        -91 |
| f:\study\design\canvas\apps\jebet\tsconfig.app.json                         | JSON               |        -25 |         -2 |         -2 |        -29 |
| f:\study\design\canvas\apps\jebet\tsconfig.app.tsbuildinfo                  | JSON               |         -1 |          0 |          0 |         -1 |
| f:\study\design\canvas\apps\jebet\tsconfig.json                             | JSON with Comments |        -17 |          0 |         -1 |        -18 |
| f:\study\design\canvas\apps\jebet\tsconfig.node.json                        | JSON               |        -19 |         -2 |         -3 |        -24 |
| f:\study\design\canvas\apps\jebet\tsconfig.node.tsbuildinfo                 | JSON               |         -1 |          0 |          0 |         -1 |
| f:\study\design\canvas\apps\jebet\vite.config.ts                            | TypeScript         |        -11 |          0 |         -2 |        -13 |
| f:\study\design\canvas\apps\vue\README.md                                   | Markdown           |        -19 |          0 |        -11 |        -30 |
| f:\study\design\canvas\apps\vue\biome.json                                  | JSON               |        -33 |          0 |         -1 |        -34 |
| f:\study\design\canvas\apps\vue\eslint.config.mjs                           | JavaScript         |        -10 |          0 |         -2 |        -12 |
| f:\study\design\canvas\apps\vue\package.json                                | JSON               |        -28 |          0 |         -1 |        -29 |
| f:\study\design\canvas\apps\vue\rsbuild.config.ts                           | TypeScript         |         -5 |          0 |         -2 |         -7 |
| f:\study\design\canvas\apps\vue\server\index.ts                             | TypeScript         |         -3 |          0 |         -2 |         -5 |
| f:\study\design\canvas\apps\vue\src\App.vue                                 | vue                |        -36 |          0 |         -6 |        -42 |
| f:\study\design\canvas\apps\vue\src\env.d.ts                                | TypeScript         |         -5 |         -1 |         -3 |         -9 |
| f:\study\design\canvas\apps\vue\src\index.css                               | CSS                |         -6 |          0 |         -1 |         -7 |
| f:\study\design\canvas\apps\vue\src\index.ts                                | TypeScript         |         -4 |          0 |         -2 |         -6 |
| f:\study\design\canvas\apps\vue\tsconfig.json                               | JSON with Comments |        -20 |         -2 |         -3 |        -25 |
| f:\study\design\canvas\package.json                                         | JSON               |        -32 |          0 |         -1 |        -33 |
| f:\study\design\canvas\package\ui\index.d.ts                                | TypeScript         |         -1 |          0 |         -1 |         -2 |
| f:\study\design\canvas\package\ui\index.html                                | HTML               |        -13 |          0 |         -1 |        -14 |
| f:\study\design\canvas\package\ui\lib\InitScroll\index.tsx                  | TypeScript JSX     |        -24 |          0 |         -3 |        -27 |
| f:\study\design\canvas\package\ui\lib\main.ts                               | TypeScript         |         -9 |          0 |         -1 |        -10 |
| f:\study\design\canvas\package\ui\package.json                              | JSON               |        -28 |          0 |          0 |        -28 |
| f:\study\design\canvas\package\ui\public\vite.svg                           | XML                |         -1 |          0 |          0 |         -1 |
| f:\study\design\canvas\package\ui\src\main.ts                               | TypeScript         |        -21 |          0 |         -3 |        -24 |
| f:\study\design\canvas\package\ui\src\style.css                             | CSS                |        -84 |          0 |        -12 |        -96 |
| f:\study\design\canvas\package\ui\src\typescript.svg                        | XML                |         -1 |          0 |          0 |         -1 |
| f:\study\design\canvas\package\ui\src\vite-env.d.ts                         | TypeScript         |          0 |         -1 |         -1 |         -2 |
| f:\study\design\canvas\package\ui\tsconfig.json                             | JSON with Comments |        -20 |         -2 |         -3 |        -25 |
| f:\study\design\canvas\package\ui\vite.config.ts                            | TypeScript         |        -10 |          0 |         -2 |        -12 |
| f:\study\design\canvas\pnpm-lock.yaml                                       | YAML               |    -13,061 |          0 |     -3,268 |    -16,329 |
| f:\study\design\canvas\pnpm-workspace.yaml                                  | YAML               |         -4 |          0 |         -1 |         -5 |
| f:\study\design\canvas\turbo.json                                           | JSON               |        -18 |          0 |         -1 |        -19 |
| Total                                                                       |                    |    -17,234 |        -84 |     -3,726 |    -21,044 |
+-----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
